date,rank,track,artist,sales_last_week,sales_peak,sales_woc
4/13/2024,25,Save Me,Jelly Roll With Lainey Wilson,21,6,43
4/20/2024,1,Wanna Be,GloRilla & Megan Thee Stallion,-,1,1
4/20/2024,2,Beautiful Things,Benson Boone,4,1,12
4/20/2024,3,Too Sweet,Hozier,10,3,3
4/20/2024,4,Texas Hold 'Em,Beyonce,1,1,9
4/20/2024,5,Total Eclipse Of The Heart,Bonnie Tyler,-,5,2
4/20/2024,6,Lose Control,Teddy Swims,6,1,39
4/20/2024,7,Austin,Dasha,14,6,5
4/20/2024,8,Powerful Women,Pitbull & Dolly Parton,-,8,1
4/20/2024,9,Need A Favor,Jelly Roll,-,2,49
4/20/2024,10,II Most Wanted,Beyonce & Miley Cyrus,3,3,2
4/20/2024,11,7 Minute Drill,J. Cole,-,11,1
4/20/2024,12,Halfway To Hell,Jelly Roll,-,12,2
4/20/2024,13,Save Me,Jelly Roll With Lainey Wilson,25,6,44
4/20/2024,14,Like That,"Future, Metro Boomin & Kendrick Lamar",8,2,3
4/20/2024,15,Jolene,Beyonce,2,2,2
4/20/2024,16,Where It Ends,Bailey Zimmerman,-,6,3
4/20/2024,17,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",7,7,2
4/20/2024,18,Lovin On Me,Jack Harlow,19,1,22
4/20/2024,19,"Love You, Miss You, Mean It",Luke Bryan,-,19,1
4/20/2024,20,Save Me,Jelly Roll,-,16,12
4/20/2024,21,Eyes Closed,Imagine Dragons,-,21,1
4/20/2024,22,Stick Season,Noah Kahan,-,17,4
4/20/2024,23,Love Me Like You Mean It,Kelsea Ballerini,-,23,2
4/20/2024,24,Live Like You Were Dying,Tim McGraw,23,10,19
4/20/2024,25,Truck Bed,HARDY,20,11,13
4/27/2024,1,A Bar Song (Tipsy),Shaboozey,-,1,1
4/27/2024,2,Beautiful Things,Benson Boone,2,1,13
4/27/2024,3,God Mode,Tom MacDonald,-,3,1
4/27/2024,4,Lose Control,Teddy Swims,6,1,40
4/27/2024,5,Too Sweet,Hozier,3,3,4
4/27/2024,6,Texas Hold 'Em,Beyonce,4,1,10
4/27/2024,7,Like That,"Future, Metro Boomin & Kendrick Lamar",14,2,4
4/27/2024,8,Espresso,Sabrina Carpenter,-,8,1
4/27/2024,9,Wanna Be,GloRilla & Megan Thee Stallion,1,1,2
4/27/2024,10,Austin,Dasha,7,6,6
4/27/2024,11,White Horse,Chris Stapleton,-,5,28
4/27/2024,12,Karma's A Bitch,Brit Smith,-,12,1
4/27/2024,13,I Like The Way You Kiss Me,Artemas,-,13,1
4/27/2024,14,Lil Boo Thang,Paul Russell,-,2,29
4/27/2024,15,Need A Favor,Jelly Roll,9,2,50
4/27/2024,16,Overflow,Transformation Worship & Todd Dulaney,-,16,1
4/27/2024,17,Halfway To Hell,Jelly Roll,12,12,3
4/27/2024,18,Lovin On Me,Jack Harlow,18,1,23
4/27/2024,19,Save Me,Jelly Roll With Lainey Wilson,13,6,45
4/27/2024,20,Where The Wild Things Are,Luke Combs,-,12,12
4/27/2024,21,Stick Season,Noah Kahan,22,17,5
4/27/2024,22,Hangin' On,ERNEST & Morgan Wallen,-,22,1
4/27/2024,23,The Door,Teddy Swims,-,23,1
4/27/2024,24,Save Me,Jelly Roll,20,16,13
4/27/2024,25,Live Like You Were Dying,Tim McGraw,24,10,20
5/4/2024,1,Fortnight,Taylor Swift Featuring Post Malone,-,1,1
